,group
TCGA-OR-A5LN-01A,1
TCGA-OR-A5KX-01A,1
TCGA-OU-A5PI-01A,1
TCGA-OR-A5K5-01A,1
TCGA-OR-A5JA-01A,1
TCGA-OR-A5K4-01A,1
TCGA-OR-A5J2-01A,1
TCGA-OR-A5JZ-01A,1
TCGA-OR-A5LK-01A,1
TCGA-OR-A5KO-01A,1
TCGA-OR-A5JR-01A,1
TCGA-OR-A5J9-01A,1
TCGA-OR-A5LH-01A,1
TCGA-OR-A5LL-01A,1
TCGA-OR-A5LT-01A,1
TCGA-OR-A5KU-01A,1
TCGA-OR-A5K8-01A,1
TCGA-PK-A5HA-01A,1
TCGA-OR-A5JV-01A,1
TCGA-OR-A5KZ-01A,1
TCGA-OR-A5JT-01A,1
TCGA-OR-A5K3-01A,1
TCGA-OR-A5J7-01A,1
TCGA-OR-A5J8-01A,1
TCGA-OR-A5LO-01A,1
TCGA-OR-A5K0-01A,1
TCGA-OR-A5LP-01A,1
TCGA-OR-A5LG-01A,1
TCGA-OR-A5LJ-01A,1
TCGA-OR-A5LM-01A,1
TCGA-OR-A5LS-01A,1
TCGA-OR-A5J3-01A,1
TCGA-OR-A5K1-01A,1
TCGA-OR-A5JP-01A,1
TCGA-P6-A5OG-01A,1
TCGA-PK-A5H8-01A,1
TCGA-OR-A5K6-01A,1
TCGA-OR-A5KY-01A,1
TCGA-OR-A5JW-01A,1
TCGA-OR-A5KW-01A,1
TCGA-PK-A5H9-01A,1
TCGA-OR-A5JS-01A,1
TCGA-PA-A5YG-01A,1
TCGA-OR-A5JY-01A,1
TCGA-OR-A5LD-01A,1
TCGA-OR-A5J6-01A,1
TCGA-CU-A3KJ-01A,2
TCGA-K4-A3WU-01B,2
TCGA-DK-A3IU-01A,2
TCGA-GV-A40G-01A,2
TCGA-DK-A3IN-01A,2
TCGA-UY-A78O-01A,2
TCGA-GD-A2C5-01A,2
TCGA-G2-A2EK-01A,2
TCGA-ZF-AA4W-01A,2
TCGA-C4-A0F6-01A,2
TCGA-XF-A9T3-01A,2
TCGA-ZF-A9RN-01A,2
TCGA-S5-A6DX-01A,2
TCGA-FJ-A3Z7-01A,2
TCGA-E7-A519-01A,2
TCGA-FD-A3SR-01A,2
TCGA-CU-A5W6-01A,2
TCGA-C4-A0EZ-01A,2
TCGA-XF-A9ST-01A,2
TCGA-GV-A3QH-01A,2
TCGA-4Z-AA81-01A,2
TCGA-CF-A3MG-01A,2
TCGA-G2-AA3B-01A,2
TCGA-GU-AATP-01A,2
TCGA-CF-A1HR-01A,2
TCGA-FD-A43N-01A,2
TCGA-4Z-AA82-01A,2
TCGA-CF-A5U8-01A,2
TCGA-K4-A6FZ-01A,2
TCGA-DK-A2I4-01A,2
TCGA-BL-A13J-01A,2
TCGA-GD-A76B-01A,2
TCGA-K4-A6MB-01A,2
TCGA-XF-A9SI-01A,2
TCGA-ZF-A9RM-01A,2
TCGA-4Z-AA83-01A,2
TCGA-CF-A27C-01A,2
TCGA-ZF-A9R0-01A,2
TCGA-FD-A5BV-01A,2
TCGA-FD-A6TF-01A,2
TCGA-DK-AA6R-01A,2
TCGA-4Z-AA80-01A,2
TCGA-XF-A9T0-01A,2
TCGA-GU-A762-01A,2
TCGA-DK-A1AE-01A,2
TCGA-ZF-AA52-01A,2
TCGA-BT-A3PK-01A,2
TCGA-FD-A3SJ-01A,2
TCGA-XF-A9SP-01A,2
TCGA-XF-A9T6-01A,2
TCGA-FD-A3B8-01A,2
TCGA-4Z-AA89-01A,2
TCGA-E7-A5KF-01A,2
TCGA-CF-A8HY-01A,2
TCGA-DK-A6B0-01A,2
TCGA-E7-A7DU-01A,2
TCGA-FD-A43S-01A,2
TCGA-FD-A5BX-01A,2
TCGA-BT-A20J-01A,2
TCGA-GC-A3I6-01A,2
TCGA-FT-A61P-01A,2
TCGA-E7-A8O8-01A,2
TCGA-CF-A9FL-01A,2
TCGA-DK-A3WY-01A,2
TCGA-FD-A3B4-01A,2
TCGA-FD-A3N6-01A,2
TCGA-XF-A9T2-01A,2
TCGA-GD-A6C6-01A,2
TCGA-CF-A1HS-01A,2
TCGA-CU-A3QU-01A,2
TCGA-CF-A3MH-01A,2
